Type,Name,Scope-ID,Serial,Device Function (Persona)
Global,Global,,N/A,N/A
Site,ADL-Collin,34924110765.0,N/A,N/A
Site,ADL-KK,35663271867.0,N/A,N/A
Site,Open-SSID-Site,43384008660.0,N/A,N/A
Site,LSV-Open-SSID-Site,43411255429.0,N/A,N/A
Site,WPA3-PSK-Site,43770932161.0,N/A,N/A
Site,UPS Site B,44060130507.0,N/A,N/A
Site,KK-2-WPA3-PSK-Site,44089155385.0,N/A,N/A
Site,ADL-KK-2,44109525466.0,N/A,N/A
Device Group,ADL-Collin,34924053035.0,N/A,N/A
Device Group,ADL-Lucas,35663152757.0,N/A,N/A
Device Group,ADL-Ti,35765452060.0,N/A,N/A
Device Group,ADL-KK,44107620436.0,N/A,N/A
Device,dc:b7:ac:cc:e5:98,35667566824.0,VNQ7KZD4P5,Campus AP (CAMPUS_AP)
Device,NJRAR-1,35663370144.0,TW3BLZB0V6,Access Switch (ACCESS_SWITCH)
Device,NJRAR-2,34923879753.0,TW3BLZB0V5,Access Switch (ACCESS_SWITCH)
Device,rename-ap-hostname,35667616727.0,VNQ7KZD4JB,Campus AP (CAMPUS_AP)
Device,ADL-Lucas,35663403301.0,SG43KN501X,N/A (Device configured via Classic Central)
Device,dc:b7:ac:cc:dd:ba,,VNQ7KZD4MS,N/A (Device configured via Classic Central)
Device,dc:b7:ac:cc:e6:7c,35667629321.0,VNQ7KZD4J7,N/A (Device configured via Classic Central)
